location_id,location_name,type,parent_location_id,city,prefecture_id,region_id,coverage_phase,food_focus,admin_note,content_status
yuzawa-city,Yuzawa City,City,,Yuzawa City,akita,tohoku,1,,,Published
yurihonjo-city,Yurihonjo City,City,,Yurihonjo City,akita,tohoku,1,,,Published
yokote-city,Yokote City,City,,Yokote City,akita,tohoku,1,,,Published
asahi-town,Asahi Town,Town,,Asahi Town,yamagata,tohoku,1,,,Published
iide-town,Iide Town,Town,,Iide Town,yamagata,tohoku,1,,,Published
oishida-town,Oishida Town,Town,,Oishida Town,yamagata,tohoku,1,,,Published
oe-town,Oe Town,Town,,Oe Town,yamagata,tohoku,1,,,Published
okura-village,Okura Village,City,,Okura Village,yamagata,tohoku,1,,,Published
oguni-town,Oguni Town,Town,,Oguni Town,yamagata,tohoku,1,,,Published
obanazawa-city,Obanazawa City,City,,Obanazawa City,yamagata,tohoku,1,,,Published
kaneyama-town,Kaneyama Town,Town,,Kaneyama Town,yamagata,tohoku,1,,,Published
kahoku-town,Kahoku Town,Town,,Kahoku Town,yamagata,tohoku,1,,,Published
kaminoyama-city,Kaminoyama City,City,,Kaminoyama City,yamagata,tohoku,1,,,Published
kawanishi-town,Kawanishi Town,Town,,Kawanishi Town,yamagata,tohoku,1,,,Published
sagae-city,Sagae City,City,,Sagae City,yamagata,tohoku,1,,,Published
sakata-city,Sakata City,City,,Sakata City,yamagata,tohoku,1,,,Published
sakegawa-village,Sakegawa Village,City,,Sakegawa Village,yamagata,tohoku,1,,,Published
shonai-town,Shonai Town,Town,,Shonai Town,yamagata,tohoku,1,,,Published
shirataka-town,Shirataka Town,Town,,Shirataka Town,yamagata,tohoku,1,,,Published
shinjo-city,Shinjo City,City,,Shinjo City,yamagata,tohoku,1,,,Published
takahata-town,Takahata Town,Town,,Takahata Town,yamagata,tohoku,1,,,Published
tsuruoka-city,Tsuruoka City,City,,Tsuruoka City,yamagata,tohoku,1,,,Published
tendo-city,Tendo City,City,,Tendo City,yamagata,tohoku,1,,,Published
tozawa-village,Tozawa Village,City,,Tozawa Village,yamagata,tohoku,1,,,Published
nagai-city,Nagai City,City,,Nagai City,yamagata,tohoku,1,,,Published
nakayama-town,Nakayama Town,Town,,Nakayama Town,yamagata,tohoku,1,,,Published
nanyo-city,Nanyo City,City,,Nanyo City,yamagata,tohoku,1,,,Published
nishikawa-town,Nishikawa Town,Town,,Nishikawa Town,yamagata,tohoku,1,,,Published
higashine-city,Higashine City,City,,Higashine City,yamagata,tohoku,1,,,Published
funagata-town,Funagata Town,Town,,Funagata Town,yamagata,tohoku,1,,,Published
mamurogawa-town,Mamurogawa Town,Town,,Mamurogawa Town,yamagata,tohoku,1,,,Published
mikawa-town,Mikawa Town,Town,,Mikawa Town,yamagata,tohoku,1,,,Published
murayama-city,Murayama City,City,,Murayama City,yamagata,tohoku,1,,,Published
mogami-town,Mogami Town,Town,,Mogami Town,yamagata,tohoku,1,,,Published
yamagata-city,Yamagata City,City,,Yamagata City,yamagata,tohoku,1,,,Published
yamanobe-town,Yamanobe Town,Town,,Yamanobe Town,yamagata,tohoku,1,,,Published
yuza-town,Yuza Town,Town,,Yuza Town,yamagata,tohoku,1,,,Published
yonezawa-city,Yonezawa City,City,,Yonezawa City,yamagata,tohoku,1,,,Published
aizubange-town,Aizubange Town,Town,,Aizubange Town,fukushima,tohoku,1,,,Published
aizumisato-town,Aizumisato Town,Town,,Aizumisato Town,fukushima,tohoku,1,,,Published
aizuwakamatsu-city,Aizuwakamatsu City,City,,Aizuwakamatsu City,fukushima,tohoku,1,,,Published
asakawa-town,Asakawa Town,Town,,Asakawa Town,fukushima,tohoku,1,,,Published
iitate-village,Iitate Village,City,,Iitate Village,fukushima,tohoku,1,,,Published
ishikawa-town,Ishikawa Town,Town,,Ishikawa Town,fukushima,tohoku,1,,,Published
izumizaki-village,Izumizaki Village,City,,Izumizaki Village,fukushima,tohoku,1,,,Published
inawashiro-town,Inawashiro Town,Town,,Inawashiro Town,fukushima,tohoku,1,,,Published
iwaki-city,Iwaki City,City,,Iwaki City,fukushima,tohoku,1,,,Published
okuma-town,Okuma Town,Town,,Okuma Town,fukushima,tohoku,1,,,Published
otama-village,Otama Village,City,,Otama Village,fukushima,tohoku,1,,,Published
ono-town,Ono Town,Town,,Ono Town,fukushima,tohoku,1,,,Published
kagamiishi-town,Kagamiishi Town,Town,,Kagamiishi Town,fukushima,tohoku,1,,,Published
katsurao-village,Katsurao Village,City,,Katsurao Village,fukushima,tohoku,1,,,Published
kawauchi-village,Kawauchi Village,City,,Kawauchi Village,fukushima,tohoku,1,,,Published
kawamata-town,Kawamata Town,Town,,Kawamata Town,fukushima,tohoku,1,,,Published
kitakata-city,Kitakata City,City,,Kitakata City,fukushima,tohoku,1,,,Published
kitashiobara-village,Kitashiobara Village,City,,Kitashiobara Village,fukushima,tohoku,1,,,Published
kunimi-town,Kunimi Town,Town,,Kunimi Town,fukushima,tohoku,1,,,Published
koori-town,Koori Town,Town,,Koori Town,fukushima,tohoku,1,,,Published
koriyama-city,Koriyama City,City,,Koriyama City,fukushima,tohoku,1,,,Published
samegawa-village,Samegawa Village,City,,Samegawa Village,fukushima,tohoku,1,,,Published
shimogo-town,Shimogo Town,Town,,Shimogo Town,fukushima,tohoku,1,,,Published
showa-village,Showa Village,City,,Showa Village,fukushima,tohoku,1,,,Published
shirakawa-city,Shirakawa City,City,,Shirakawa City,fukushima,tohoku,1,,,Published
shinchi-town,Shinchi Town,Town,,Shinchi Town,fukushima,tohoku,1,,,Published
sukagawa-city,Sukagawa City,City,,Sukagawa City,fukushima,tohoku,1,,,Published
soma-city,Soma City,City,,Soma City,fukushima,tohoku,1,,,Published
tadami-town,Tadami Town,Town,,Tadami Town,fukushima,tohoku,1,,,Published
tanagura-town,Tanagura Town,Town,,Tanagura Town,fukushima,tohoku,1,,,Published
tamakawa-village,Tamakawa Village,City,,Tamakawa Village,fukushima,tohoku,1,,,Published
tamura-city,Tamura City,City,,Tamura City,fukushima,tohoku,1,,,Published
tenei-village,Tenei Village,City,,Tenei Village,fukushima,tohoku,1,,,Published
tomioka-town,Tomioka Town,Town,,Tomioka Town,fukushima,tohoku,1,,,Published
nakajima-village,Nakajima Village,City,,Nakajima Village,fukushima,tohoku,1,,,Published
namie-town,Namie Town,Town,,Namie Town,fukushima,tohoku,1,,,Published
naraha-town,Naraha Town,Town,,Naraha Town,fukushima,tohoku,1,,,Published
nishiaizu-town,Nishiaizu Town,Town,,Nishiaizu Town,fukushima,tohoku,1,,,Published
nishigo-village,Nishigo Village,City,,Nishigo Village,fukushima,tohoku,1,,,Published
nihonmatsu-city,Nihonmatsu City,City,,Nihonmatsu City,fukushima,tohoku,1,,,Published
hanawa-town,Hanawa Town,Town,,Hanawa Town,fukushima,tohoku,1,,,Published
bandai-town,Bandai Town,Town,,Bandai Town,fukushima,tohoku,1,,,Published
hinoemata-village,Hinoemata Village,City,,Hinoemata Village,fukushima,tohoku,1,,,Published
hirata-village,Hirata Village,City,,Hirata Village,fukushima,tohoku,1,,,Published
fukushima-city,Fukushima City,City,,Fukushima City,fukushima,tohoku,1,,,Published
futaba-town,Futaba Town,Town,,Futaba Town,fukushima,tohoku,1,,,Published
furudono-town,Furudono Town,Town,,Furudono Town,fukushima,tohoku,1,,,Published
mishima-town,Mishima Town,Town,,Mishima Town,fukushima,tohoku,1,,,Published
minamiaizu-town,Minamiaizu Town,Town,,Minamiaizu Town,fukushima,tohoku,1,,,Published
minamisoma-city,Minamisoma City,City,,Minamisoma City,fukushima,tohoku,1,,,Published
miharu-town,Miharu Town,Town,,Miharu Town,fukushima,tohoku,1,,,Published
motomiya-city,Motomiya City,City,,Motomiya City,fukushima,tohoku,1,,,Published
yanaizu-town,Yanaizu Town,Town,,Yanaizu Town,fukushima,tohoku,1,,,Published
yabuki-town,Yabuki Town,Town,,Yabuki Town,fukushima,tohoku,1,,,Published
yamatsuri-town,Yamatsuri Town,Town,,Yamatsuri Town,fukushima,tohoku,1,,,Published
yugawa-village,Yugawa Village,City,,Yugawa Village,fukushima,tohoku,1,,,Published
ami-town,Ami Town,Town,,Ami Town,ibaraki,kanto,1,,,Published
ishioka-city,Ishioka City,City,,Ishioka City,ibaraki,kanto,1,,,Published
itako-city,Itako City,City,,Itako City,ibaraki,kanto,1,,,Published
inashiki-city,Inashiki City,City,,Inashiki City,ibaraki,kanto,1,,,Published
ibaraki-town,Ibaraki Town,Town,,Ibaraki Town,ibaraki,kanto,1,,,Published
ushiku-city,Ushiku City,City,,Ushiku City,ibaraki,kanto,1,,,Published
oarai-town,Oarai Town,Town,,Oarai Town,ibaraki,kanto,1,,,Published
omitama-city,Omitama City,City,,Omitama City,ibaraki,kanto,1,,,Published
kasama-city,Kasama City,City,,Kasama City,ibaraki,kanto,1,,,Published
kashima-city,Kashima City,City,,Kashima City,ibaraki,kanto,1,,,Published
kasumigaura-city,Kasumigaura City,City,,Kasumigaura City,ibaraki,kanto,1,,,Published
kamisu-city,Kamisu City,City,,Kamisu City,ibaraki,kanto,1,,,Published
kawachi-town,Kawachi Town,Town,,Kawachi Town,ibaraki,kanto,1,,,Published
kitaibaraki-city,Kitaibaraki City,City,,Kitaibaraki City,ibaraki,kanto,1,,,Published
koga-city,Koga City,City,,Koga City,ibaraki,kanto,1,,,Published
goka-town,Goka Town,Town,,Goka Town,ibaraki,kanto,1,,,Published
sakai-town,Sakai Town,Town,,Sakai Town,ibaraki,kanto,1,,,Published
sakuragawa-city,Sakuragawa City,City,,Sakuragawa City,ibaraki,kanto,1,,,Published
shimotsuma-city,Shimotsuma City,City,,Shimotsuma City,ibaraki,kanto,1,,,Published
joso-city,Joso City,City,,Joso City,ibaraki,kanto,1,,,Published
shirosato-town,Shirosato Town,Town,,Shirosato Town,ibaraki,kanto,1,,,Published
daigo-town,Daigo Town,Town,,Daigo Town,ibaraki,kanto,1,,,Published
takahagi-city,Takahagi City,City,,Takahagi City,ibaraki,kanto,1,,,Published
chikusei-city,Chikusei City,City,,Chikusei City,ibaraki,kanto,1,,,Published
tsukuba-city,Tsukuba City,City,,Tsukuba City,ibaraki,kanto,1,,,Published
tsukubamirai-city,Tsukubamirai City,City,,Tsukubamirai City,ibaraki,kanto,1,,,Published
tsuchiura-city,Tsuchiura City,City,,Tsuchiura City,ibaraki,kanto,1,,,Published
tokai-village,Tokai Village,City,,Tokai Village,ibaraki,kanto,1,,,Published
tone-town,Tone Town,Town,,Tone Town,ibaraki,kanto,1,,,Published
toride-city,Toride City,City,,Toride City,ibaraki,kanto,1,,,Published
naka-city,Naka City,City,,Naka City,ibaraki,kanto,1,,,Published
namegata-city,Namegata City,City,,Namegata City,ibaraki,kanto,1,,,Published
bando-city,Bando City,City,,Bando City,ibaraki,kanto,1,,,Published
hitachiota-city,Hitachiota City,City,,Hitachiota City,ibaraki,kanto,1,,,Published
hitachiomiya-city,Hitachiomiya City,City,,Hitachiomiya City,ibaraki,kanto,1,,,Published
hitachi-city,Hitachi City,City,,Hitachi City,ibaraki,kanto,1,,,Published
hitachinaka-city,Hitachinaka City,City,,Hitachinaka City,ibaraki,kanto,1,,,Published
hokota-city,Hokota City,City,,Hokota City,ibaraki,kanto,1,,,Published
mito-city,Mito City,City,,Mito City,ibaraki,kanto,1,,,Published
miho-village,Miho Village,City,,Miho Village,ibaraki,kanto,1,,,Published
moriya-city,Moriya City,City,,Moriya City,ibaraki,kanto,1,,,Published
yachiyo-town,Yachiyo Town,Town,,Yachiyo Town,ibaraki,kanto,1,,,Published
yuki-city,Yuki City,City,,Yuki City,ibaraki,kanto,1,,,Published
ryugasaki-city,Ryugasaki City,City,,Ryugasaki City,ibaraki,kanto,1,,,Published
ashikaga-city,Ashikaga City,City,,Ashikaga City,tochigi,kanto,1,,,Published
ichikai-town,Ichikai Town,Town,,Ichikai Town,tochigi,kanto,1,,,Published
utsunomiya-city,Utsunomiya City,City,,Utsunomiya City,tochigi,kanto,1,,,Published
otawara-city,Otawara City,City,,Otawara City,tochigi,kanto,1,,,Published
oyama-city,Oyama City,City,,Oyama City,tochigi,kanto,1,,,Published
kanuma-city,Kanuma City,City,,Kanuma City,tochigi,kanto,1,,,Published
kaminokawa-town,Kaminokawa Town,Town,,Kaminokawa Town,tochigi,kanto,1,,,Published
sakura-city,Sakura City,City,,Sakura City,tochigi,kanto,1,,,Published
sano-city,Sano City,City,,Sano City,tochigi,kanto,1,,,Published
shioya-town,Shioya Town,Town,,Shioya Town,tochigi,kanto,1,,,Published
shimotsuke-city,Shimotsuke City,City,,Shimotsuke City,tochigi,kanto,1,,,Published
takanezawa-town,Takanezawa Town,Town,,Takanezawa Town,tochigi,kanto,1,,,Published
tochigi-city,Tochigi City,City,,Tochigi City,tochigi,kanto,1,,,Published
nasukarasuyama-city,Nasukarasuyama City,City,,Nasukarasuyama City,tochigi,kanto,1,,,Published
nasushiobara-city,Nasushiobara City,City,,Nasushiobara City,tochigi,kanto,1,,,Published
nasu-town,Nasu Town,Town,,Nasu Town,tochigi,kanto,1,,,Published
nikko-city,Nikko City,City,,Nikko City,tochigi,kanto,1,,,Published
nogi-town,Nogi Town,Town,,Nogi Town,tochigi,kanto,1,,,Published
haga-town,Haga Town,Town,,Haga Town,tochigi,kanto,1,,,Published
mashiko-town,Mashiko Town,Town,,Mashiko Town,tochigi,kanto,1,,,Published
mibu-town,Mibu Town,Town,,Mibu Town,tochigi,kanto,1,,,Published
moka-city,Moka City,City,,Moka City,tochigi,kanto,1,,,Published
motegi-town,Motegi Town,Town,,Motegi Town,tochigi,kanto,1,,,Published
yaita-city,Yaita City,City,,Yaita City,tochigi,kanto,1,,,Published
annaka-city,Annaka City,City,,Annaka City,gunma,kanto,1,,,Published
isesaki-city,Isesaki City,City,,Isesaki City,gunma,kanto,1,,,Published
itakura-town,Itakura Town,Town,,Itakura Town,gunma,kanto,1,,,Published
ueno-village,Ueno Village,City,,Ueno Village,gunma,kanto,1,,,Published
ora-town,Ora Town,Town,,Ora Town,gunma,kanto,1,,,Published
oizumi-town,Oizumi Town,Town,,Oizumi Town,gunma,kanto,1,,,Published
ota-city,Ota City,City,,Ota City,gunma,kanto,1,,,Published
katashina-village,Katashina Village,City,,Katashina Village,gunma,kanto,1,,,Published
kawaba-village,Kawaba Village,City,,Kawaba Village,gunma,kanto,1,,,Published
kanna-town,Kanna Town,Town,,Kanna Town,gunma,kanto,1,,,Published
kanra-town,Kanra Town,Town,,Kanra Town,gunma,kanto,1,,,Published
kiryu-city,Kiryu City,City,,Kiryu City,gunma,kanto,1,,,Published
kusatsu-town,Kusatsu Town,Town,,Kusatsu Town,gunma,kanto,1,,,Published
shibukawa-city,Shibukawa City,City,,Shibukawa City,gunma,kanto,1,,,Published
shimonita-town,Shimonita Town,Town,,Shimonita Town,gunma,kanto,1,,,Published
shinto-village,Shinto Village,City,,Shinto Village,gunma,kanto,1,,,Published
takasaki-city,Takasaki City,City,,Takasaki City,gunma,kanto,1,,,Published
takayama-village,Takayama Village,City,,Takayama Village,gunma,kanto,1,,,Published
tatebayashi-city,Tatebayashi City,City,,Tatebayashi City,gunma,kanto,1,,,Published
tamamura-town,Tamamura Town,Town,,Tamamura Town,gunma,kanto,1,,,Published
chiyoda-town,Chiyoda Town,Town,,Chiyoda Town,gunma,kanto,1,,,Published
tsumagoi-village,Tsumagoi Village,City,,Tsumagoi Village,gunma,kanto,1,,,Published
tomioka-city,Tomioka City,City,,Tomioka City,gunma,kanto,1,,,Published
nakanojo-town,Nakanojo Town,Town,,Nakanojo Town,gunma,kanto,1,,,Published
naganohara-town,Naganohara Town,Town,,Naganohara Town,gunma,kanto,1,,,Published
nanmoku-village,Nanmoku Village,City,,Nanmoku Village,gunma,kanto,1,,,Published
numata-city,Numata City,City,,Numata City,gunma,kanto,1,,,Published
higashiagatsuma-town,Higashiagatsuma Town,Town,,Higashiagatsuma Town,gunma,kanto,1,,,Published
fujioka-city,Fujioka City,City,,Fujioka City,gunma,kanto,1,,,Published
maebashi-city,Maebashi City,City,,Maebashi City,gunma,kanto,1,,,Published
midori-city,Midori City,City,,Midori City,gunma,kanto,1,,,Published
minakami-town,Minakami Town,Town,,Minakami Town,gunma,kanto,1,,,Published
meiwa-town,Meiwa Town,Town,,Meiwa Town,gunma,kanto,1,,,Published
yoshioka-town,Yoshioka Town,Town,,Yoshioka Town,gunma,kanto,1,,,Published
ageo-city,Ageo City,City,,Ageo City,saitama,kanto,1,,,Published
asaka-city,Asaka City,City,,Asaka City,saitama,kanto,1,,,Published
ina-town,Ina Town,Town,,Ina Town,saitama,kanto,1,,,Published
iruma-city,Iruma City,City,,Iruma City,saitama,kanto,1,,,Published
ogano-town,Ogano Town,Town,,Ogano Town,saitama,kanto,1,,,Published
ogawa-town,Ogawa Town,Town,,Ogawa Town,saitama,kanto,1,,,Published
okegawa-city,Okegawa City,City,,Okegawa City,saitama,kanto,1,,,Published
ogose-town,Ogose Town,Town,,Ogose Town,saitama,kanto,1,,,Published
kasukabe-city,Kasukabe City,City,,Kasukabe City,saitama,kanto,1,,,Published
kazo-city,Kazo City,City,,Kazo City,saitama,kanto,1,,,Published
kamisato-town,Kamisato Town,Town,,Kamisato Town,saitama,kanto,1,,,Published
kawaguchi-city,Kawaguchi City,City,,Kawaguchi City,saitama,kanto,1,,,Published
kawagoe-city,Kawagoe City,City,,Kawagoe City,saitama,kanto,1,,,Published
kawajima-town,Kawajima Town,Town,,Kawajima Town,saitama,kanto,1,,,Published
kitamoto-city,Kitamoto City,City,,Kitamoto City,saitama,kanto,1,,,Published
gyoda-city,Gyoda City,City,,Gyoda City,saitama,kanto,1,,,Published
kuki-city,Kuki City,City,,Kuki City,saitama,kanto,1,,,Published
kumagaya-city,Kumagaya City,City,,Kumagaya City,saitama,kanto,1,,,Published
konosu-city,Konosu City,City,,Konosu City,saitama,kanto,1,,,Published
koshigaya-city,Koshigaya City,City,,Koshigaya City,saitama,kanto,1,,,Published
saitama-city,Saitama City,City,,Saitama City,saitama,kanto,1,,,Published
sakado-city,Sakado City,City,,Sakado City,saitama,kanto,1,,,Published
satte-city,Satte City,City,,Satte City,saitama,kanto,1,,,Published
sayama-city,Sayama City,City,,Sayama City,saitama,kanto,1,,,Published
shiki-city,Shiki City,City,,Shiki City,saitama,kanto,1,,,Published
shiraoka-city,Shiraoka City,City,,Shiraoka City,saitama,kanto,1,,,Published
sugito-town,Sugito Town,Town,,Sugito Town,saitama,kanto,1,,,Published
soka-city,Soka City,City,,Soka City,saitama,kanto,1,,,Published
chichibu-city,Chichibu City,City,,Chichibu City,saitama,kanto,1,,,Published
tsurugashima-city,Tsurugashima City,City,,Tsurugashima City,saitama,kanto,1,,,Published
tokigawa-town,Tokigawa Town,Town,,Tokigawa Town,saitama,kanto,1,,,Published
tokorozawa-city,Tokorozawa City,City,,Tokorozawa City,saitama,kanto,1,,,Published
toda-city,Toda City,City,,Toda City,saitama,kanto,1,,,Published
nagatoro-town,Nagatoro Town,Town,,Nagatoro Town,saitama,kanto,1,,,Published
namegawa-town,Namegawa Town,Town,,Namegawa Town,saitama,kanto,1,,,Published
niiza-city,Niiza City,City,,Niiza City,saitama,kanto,1,,,Published
hasuda-city,Hasuda City,City,,Hasuda City,saitama,kanto,1,,,Published
hatoyama-town,Hatoyama Town,Town,,Hatoyama Town,saitama,kanto,1,,,Published
hanyu-city,Hanyu City,City,,Hanyu City,saitama,kanto,1,,,Published
hanno-city,Hanno City,City,,Hanno City,saitama,kanto,1,,,Published
higashichichibu-village,Higashichichibu Village,City,,Higashichichibu Village,saitama,kanto,1,,,Published
higashimatsuyama-city,Higashimatsuyama City,City,,Higashimatsuyama City,saitama,kanto,1,,,Published
hidaka-city,Hidaka City,City,,Hidaka City,saitama,kanto,1,,,Published
fukaya-city,Fukaya City,City,,Fukaya City,saitama,kanto,1,,,Published
fujimi-city,Fujimi City,City,,Fujimi City,saitama,kanto,1,,,Published
fujimino-city,Fujimino City,City,,Fujimino City,saitama,kanto,1,,,Published
honjo-city,Honjo City,City,,Honjo City,saitama,kanto,1,,,Published
matsubushi-town,Matsubushi Town,Town,,Matsubushi Town,saitama,kanto,1,,,Published
misato-city,Misato City,City,,Misato City,saitama,kanto,1,,,Published
minano-town,Minano Town,Town,,Minano Town,saitama,kanto,1,,,Published
miyashiro-town,Miyashiro Town,Town,,Miyashiro Town,saitama,kanto,1,,,Published
miyoshi-town,Miyoshi Town,Town,,Miyoshi Town,saitama,kanto,1,,,Published
moroyama-town,Moroyama Town,Town,,Moroyama Town,saitama,kanto,1,,,Published
yashio-city,Yashio City,City,,Yashio City,saitama,kanto,1,,,Published
yokoze-town,Yokoze Town,Town,,Yokoze Town,saitama,kanto,1,,,Published
yoshikawa-city,Yoshikawa City,City,,Yoshikawa City,saitama,kanto,1,,,Published
yoshimi-town,Yoshimi Town,Town,,Yoshimi Town,saitama,kanto,1,,,Published
yorii-town,Yorii Town,Town,,Yorii Town,saitama,kanto,1,,,Published
ranzan-town,Ranzan Town,Town,,Ranzan Town,saitama,kanto,1,,,Published
wako-city,Wako City,City,,Wako City,saitama,kanto,1,,,Published
warabi-city,Warabi City,City,,Warabi City,saitama,kanto,1,,,Published
asahi-city,Asahi City,City,,Asahi City,chiba,kanto,1,,,Published
abiko-city,Abiko City,City,,Abiko City,chiba,kanto,1,,,Published
isumi-city,Isumi City,City,,Isumi City,chiba,kanto,1,,,Published
ichikawa-city,Ichikawa City,City,,Ichikawa City,chiba,kanto,1,,,Published
ichinomiya-town,Ichinomiya Town,Town,,Ichinomiya Town,chiba,kanto,1,,,Published
ichihara-city,Ichihara City,City,,Ichihara City,chiba,kanto,1,,,Published
inzai-city,Inzai City,City,,Inzai City,chiba,kanto,1,,,Published
urayasu-city,Urayasu City,City,,Urayasu City,chiba,kanto,1,,,Published
oamishirasato-city,Oamishirasato City,City,,Oamishirasato City,chiba,kanto,1,,,Published
otaki-town,Otaki Town,Town,,Otaki Town,chiba,kanto,1,,,Published
onjuku-town,Onjuku Town,Town,,Onjuku Town,chiba,kanto,1,,,Published
kashiwa-city,Kashiwa City,City,,Kashiwa City,chiba,kanto,1,,,Published
katsuura-city,Katsuura City,City,,Katsuura City,chiba,kanto,1,,,Published
katori-city,Katori City,City,,Katori City,chiba,kanto,1,,,Published
kamagaya-city,Kamagaya City,City,,Kamagaya City,chiba,kanto,1,,,Published
kamogawa-city,Kamogawa City,City,,Kamogawa City,chiba,kanto,1,,,Published
kisarazu-city,Kisarazu City,City,,Kisarazu City,chiba,kanto,1,,,Published
kimitsu-city,Kimitsu City,City,,Kimitsu City,chiba,kanto,1,,,Published
kyonan-town,Kyonan Town,Town,,Kyonan Town,chiba,kanto,1,,,Published
kujukuri-town,Kujukuri Town,Town,,Kujukuri Town,chiba,kanto,1,,,Published
kozaki-town,Kozaki Town,Town,,Kozaki Town,chiba,kanto,1,,,Published
sakae-town,Sakae Town,Town,,Sakae Town,chiba,kanto,1,,,Published
sammu-city,Sammu City,City,,Sammu City,chiba,kanto,1,,,Published
shisui-town,Shisui Town,Town,,Shisui Town,chiba,kanto,1,,,Published
shibayama-town,Shibayama Town,Town,,Shibayama Town,chiba,kanto,1,,,Published
shirako-town,Shirako Town,Town,,Shirako Town,chiba,kanto,1,,,Published
shiroi-city,Shiroi City,City,,Shiroi City,chiba,kanto,1,,,Published
sosa-city,Sosa City,City,,Sosa City,chiba,kanto,1,,,Published
sodegaura-city,Sodegaura City,City,,Sodegaura City,chiba,kanto,1,,,Published
tako-town,Tako Town,Town,,Tako Town,chiba,kanto,1,,,Published
tateyama-city,Tateyama City,City,,Tateyama City,chiba,kanto,1,,,Published
chiba-city,Chiba City,City,,Chiba City,chiba,kanto,1,,,Published
choshi-city,Choshi City,City,,Choshi City,chiba,kanto,1,,,Published
chosei-village,Chosei Village,City,,Chosei Village,chiba,kanto,1,,,Published
chonan-town,Chonan Town,Town,,Chonan Town,chiba,kanto,1,,,Published
togane-city,Togane City,City,,Togane City,chiba,kanto,1,,,Published
tonosho-town,Tonosho Town,Town,,Tonosho Town,chiba,kanto,1,,,Published
tomisato-city,Tomisato City,City,,Tomisato City,chiba,kanto,1,,,Published
nagara-town,Nagara Town,Town,,Nagara Town,chiba,kanto,1,,,Published
nagareyama-city,Nagareyama City,City,,Nagareyama City,chiba,kanto,1,,,Published
narashino-city,Narashino City,City,,Narashino City,chiba,kanto,1,,,Published
narita-city,Narita City,City,,Narita City,chiba,kanto,1,,,Published
noda-city,Noda City,City,,Noda City,chiba,kanto,1,,,Published
futtsu-city,Futtsu City,City,,Futtsu City,chiba,kanto,1,,,Published
funabashi-city,Funabashi City,City,,Funabashi City,chiba,kanto,1,,,Published
matsudo-city,Matsudo City,City,,Matsudo City,chiba,kanto,1,,,Published
minamiboso-city,Minamiboso City,City,,Minamiboso City,chiba,kanto,1,,,Published
mutsuzawa-town,Mutsuzawa Town,Town,,Mutsuzawa Town,chiba,kanto,1,,,Published
mobara-city,Mobara City,City,,Mobara City,chiba,kanto,1,,,Published
yachimata-city,Yachimata City,City,,Yachimata City,chiba,kanto,1,,,Published
yachiyo-city,Yachiyo City,City,,Yachiyo City,chiba,kanto,1,,,Published
yokoshibahikari-town,Yokoshibahikari Town,Town,,Yokoshibahikari Town,chiba,kanto,1,,,Published
yotsukaido-city,Yotsukaido City,City,,Yotsukaido City,chiba,kanto,1,,,Published
aikawa-town,Aikawa Town,Town,,Aikawa Town,kanagawa,kanto,1,,,Published
atsugi-city,Atsugi City,City,,Atsugi City,kanagawa,kanto,1,,,Published
ayase-city,Ayase City,City,,Ayase City,kanagawa,kanto,1,,,Published
isehara-city,Isehara City,City,,Isehara City,kanagawa,kanto,1,,,Published
ebina-city,Ebina City,City,,Ebina City,kanagawa,kanto,1,,,Published
oiso-town,Oiso Town,Town,,Oiso Town,kanagawa,kanto,1,,,Published
oi-town,Oi Town,Town,,Oi Town,kanagawa,kanto,1,,,Published
odawara-city,Odawara City,City,,Odawara City,kanagawa,kanto,1,,,Published
kaisei-town,Kaisei Town,Town,,Kaisei Town,kanagawa,kanto,1,,,Published
kamakura-city,Kamakura City,City,,Kamakura City,kanagawa,kanto,1,,,Published
kawasaki-city,Kawasaki City,City,,Kawasaki City,kanagawa,kanto,1,,,Published
kiyokawa-village,Kiyokawa Village,City,,Kiyokawa Village,kanagawa,kanto,1,,,Published
sagamihara-city,Sagamihara City,City,,Sagamihara City,kanagawa,kanto,1,,,Published
zama-city,Zama City,City,,Zama City,kanagawa,kanto,1,,,Published
samukawa-town,Samukawa Town,Town,,Samukawa Town,kanagawa,kanto,1,,,Published
zushi-city,Zushi City,City,,Zushi City,kanagawa,kanto,1,,,Published
chigasaki-city,Chigasaki City,City,,Chigasaki City,kanagawa,kanto,1,,,Published
nakai-town,Nakai Town,Town,,Nakai Town,kanagawa,kanto,1,,,Published
ninomiya-town,Ninomiya Town,Town,,Ninomiya Town,kanagawa,kanto,1,,,Published
hakone-town,Hakone Town,Town,,Hakone Town,kanagawa,kanto,1,,,Published
hadano-city,Hadano City,City,,Hadano City,kanagawa,kanto,1,,,Published
hayama-town,Hayama Town,Town,,Hayama Town,kanagawa,kanto,1,,,Published
hiratsuka-city,Hiratsuka City,City,,Hiratsuka City,kanagawa,kanto,1,,,Published
fujisawa-city,Fujisawa City,City,,Fujisawa City,kanagawa,kanto,1,,,Published
matsuda-town,Matsuda Town,Town,,Matsuda Town,kanagawa,kanto,1,,,Published
manazuru-town,Manazuru Town,Town,,Manazuru Town,kanagawa,kanto,1,,,Published
miura-city,Miura City,City,,Miura City,kanagawa,kanto,1,,,Published
minamiashigara-city,Minamiashigara City,City,,Minamiashigara City,kanagawa,kanto,1,,,Published
yamakita-town,Yamakita Town,Town,,Yamakita Town,kanagawa,kanto,1,,,Published
