dish_id,dish_name,japanese_name,region_id,primary_prefecture_id,summary,seasons,tags,dietary_guidance,price_min,price_max,content_status,home_filter_tags,vegetarian_status,halal_status,featured,origin_history_preview,origin_history_full,did_you_know,key_ingredients,pronunciation_phonetic,pronunciation_audio_url
shima-lemon-jelly,Shima Lemon Jelly,島レモンゼリー,kanto,tokyo,"A bright jelly dessert made with Ogasawara's distinctive island lemon, prized for its rounded shape, lively aroma, and relatively gentle acidity. The fruit is especially well suited to jelly because its juice and fragrant peel create a clean, refreshing citrus character.","{""Fall""}","{""local specialty""}",Vegan (if agar used),300,600,Published,"{""Vegetarian"",""Halal"",""Quick bite"",""Dine-in"",""Seasonal peak""}",Verified vegetarian,Verified halal,TRUE,"Island lemon, also known as Kikuji lemon, was introduced to Ogasawara from Hachijojima after the islands returned to Japan. Local producers later developed products such as jelly and jam to showcase the fruit's unusually mild acidity and fragrance.",,Ogasawara island lemons are about one and a half times the size of ordinary lemons and can be eaten while still green. Their rounded shape and gentler acidity make them especially versatile for sweets.,"{""01 Island Lemon Juice
 Fresh lemon juice supplies the bright citrus aroma and balanced acidity.
 

 02 Lemon Zest
 Finely grated peel intensifies the fragrance of the fruit.
 

 03 Gelatin or Jelly Setting Agent
 The setting ingredient creates the clean, trembling texture of the dessert.""}",she-mah reh-mon zeh-ree,
okutama-yamame,Okutama Yamame,奥多摩やまめ,kanto,tokyo,"A farmed yamame trout specialty from the Okutama mountains, where clear, cold water supports the production of prized landlocked trout. The fish has a clean flavor and delicate flesh and is commonly served grilled, especially with salt, to preserve its subtle mountain-stream character.","{""Summer""}","{""local specialty""}",Contains fish,1000,3000,Published,"{""Dine-in"",""Seasonal peak""}",Not vegetarian,Not halal,TRUE,"Okutama Yamame is a regional aquaculture product developed around the area's cold, clean mountain water. Modern hatchery production allows the local specialty to be supplied consistently while retaining the characteristics associated with mountain trout.",,"Yamame is a landlocked salmonid related to other Japanese trout. It is especially good grilled over charcoal or wood, where the skin develops a crisp aromatic edge.","{""01 Yamame Trout
 Freshwater trout supplies the delicate, clean-tasting flesh.
 

 02 Salt
 Salt is the classic seasoning for highlighting the fish's subtle flavor.
 

 03 Mountain Water
 Cold, clean water is central to the character and production environment of the local fish.""}",oh-koo-tah-mah yah-mah-meh,
okutama-wasabi,Okutama Wasabi,奥多摩わさび,kanto,tokyo,"A fragrant Japanese wasabi grown in the clean spring waters of Okutama, one of western Tokyo's mountain food regions. The root has a fresh, green aroma and a brief, penetrating heat that is prized when freshly grated rather than stored for long periods.","{""All year""}","{""local specialty""}","Vegan, Gluten-free",500,2000,Published,"{""Vegetarian"",""Halal"",""Quick bite"",""Dine-in""}",Verified vegetarian,Verified halal,TRUE,Wasabi has been cultivated in Okutama's cool mountain streams and spring-water environments as part of the region's long agricultural tradition. The specialty depends on clean flowing water and shaded growing conditions rather than ordinary field cultivation.,,"Freshly grated wasabi delivers a short, nasal heat that fades much faster than the burn of dried horseradish powder. The finest aroma is noticeable immediately after grating.","{""01 Wasabi Rhizome
 The grated rhizome provides the signature green aroma and sharp heat.
 

 02 Clean Spring Water
 Cold, clear flowing water creates the conditions needed for high-quality wasabi cultivation.
 

 03 Wasabi Leaves and Stems
 The plant's above-ground parts are also edible in local cooking and preserves.""}",oh-koo-tah-mah wah-sah-bee,
sashimi-konnyaku,Sashimi Konnyaku,刺身こんにゃく,kanto,tokyo,"A chilled konnyaku preparation cut into thin slices and served like sashimi, prized more for its springy texture than for a strong flavor. The translucent pieces are usually paired with a savory dipping sauce, making the dish a light, refreshing counterpoint to richer mountain foods.","{""All year""}","{""local specialty""}","Vegan, Gluten-free (depending on sauce)",400,900,Published,"{""Vegetarian"",""Halal"",""Quick bite"",""Dine-in""}",Verified vegetarian,Verified halal,TRUE,"Sashimi konnyaku comes from Japan's long tradition of using konnyaku as a preserved mountain food. The Okutama version fits the area's broader konnyaku-making culture, where clean water and locally processed konnyaku are valued regional foods.",,"Because konnyaku is mild on its own, the dipping sauce determines much of the finished flavor. Chilling the slices makes their springy texture especially refreshing.","{""01 Konnyaku
 Set konnyaku jelly provides the distinctive elastic texture.
 

 02 Clean Water
 Water is essential to the hydration and setting of the konnyaku.
 

 03 Miso or Soy-Based Sauce
 A savory dipping sauce supplies most of the dish's salt, umami, and aroma.""}",sah-shee-mee kon-nyah-koo,
kusa-dango,Kusa Dango,草だんご,kanto,tokyo,"A chewy rice dumpling flavored with aromatic yomogi leaves, traditionally served as a simple Japanese sweet with red bean paste. In Tokyo's old neighborhood confectionery tradition, kusa dango is prized for its fresh green color, herbal fragrance, and pleasantly elastic bite.","{""All year""}","{""local specialty""}","Vegan, Gluten-free (typically)",150,600,Published,"{""Vegetarian"",""Halal"",""Quick bite"",""Dine-in""}",Verified vegetarian,Verified halal,TRUE,"Kusa dango is a long-established Japanese wagashi style, traditionally made by mixing yomogi with pounded rice dough. Tokyo examples became associated with temple districts and long-running confectionery shops rather than one single inventor.",,"Yomogi gives kusa dango a grassy, slightly bitter fragrance that balances sweet bean paste. The strongest aroma is usually noticeable when the dumplings are freshly made.","{""01 Glutinous Rice Flour
 Rice flour creates the soft, chewy dumpling texture.
 

 02 Yomogi
 Mugwort provides the herbal fragrance and natural green color.
 

 03 Sweet Red Bean Paste
 Anko supplies the principal sweetness and creamy contrast.""}",koo-sah dahn-goh,
kawazakana-ryori,Kawazakana Ryori,川魚料理,kanto,tokyo,"A broad style of freshwater fish cooking associated with Tokyo's river communities, especially the mountain and waterside districts. Dishes vary by the catch and season but often emphasize simple grilling, simmering, or frying so the clean flavor of river fish remains central.","{""Summer""}","{""local specialty""}","Contains fish, soy, wheat",2500,6000,Published,"{""Dine-in"",""Seasonal peak""}",Not vegetarian,Not halal,TRUE,"River-fish cooking is much older than the modern municipality boundaries of Tokyo and grew from the practical use of local streams and rivers. The contemporary regional style preserves methods such as salt grilling, simmering, and frying rather than a single fixed recipe.",,Freshwater fish are often best with restrained seasoning because their flavor is delicate. Eating the fish soon after cooking keeps the skin crisp and the flesh moist.,"{""01 Freshwater Fish
 Trout, sweetfish, carp, or other river fish provide the central protein depending on location and season.
 

 02 Salt
 Salt grilling is one of the simplest traditional preparations.
 

 03 Soy or Miso Seasoning
 Simmered versions use savory Japanese seasonings instead of heavy spices.""}",kah-wah-zah-kah-nah ryoh-ree,
motsuyaki,Motsuyaki,もつ焼き,kanto,tokyo,"A classic Tokyo neighborhood dish of skewered pork offal grilled over high heat, especially associated with working-class drinking districts. The pieces are lightly charred and commonly seasoned with salt or a savory tare, giving them a smoky, intensely savory flavor.","{""All year""}","{""local specialty""}",Contains meat (pork/beef),100,500,Published,"{""Quick bite"",""Dine-in""}",Not vegetarian,Not halal,TRUE,"Motsuyaki grew from the urban izakaya and street-food culture of twentieth-century Japan, where inexpensive offal was grilled quickly and served with drinks. Tokyo neighborhood shops developed their own sauces, cuts, and preferred grilling styles.",,"Different cuts have dramatically different textures, from tender liver to chewy intestine. Regular customers often have a favorite cut and seasoning, so mixed skewers are a useful introduction.","{""01 Pork Offal
 Intestine, liver, stomach, and other edible cuts provide the distinctive range of textures.
 

 02 Salt
 Salt highlights the natural savory flavor and grilled aroma.
 

 03 Sweet-Savory Tare
 A soy-based tare adds sweetness, umami, and a glossy charred finish.""}",moh-tsoo-yah-kee,
takinogawa-gobo,Takinogawa Gobo,滝野川ごぼう,kanto,tokyo,"A historic long-rooted burdock associated with the Takinogawa area of northern Tokyo, known for its strong aroma and firm, flavorful flesh. The local variety became famous as a traditional vegetable and is valued in simmered dishes, kinpira, and other preparations that reward its distinctive bite.","{""Fall""}","{""local specialty""}","Vegan, Gluten-free",500,1500,Published,"{""Vegetarian"",""Halal"",""Dine-in"",""Seasonal peak""}",Verified vegetarian,Verified halal,TRUE,Takinogawa burdock was cultivated in Edo-period Tokyo and became a recognized local vegetable of the Takinogawa district. The variety is part of the city's heritage vegetable tradition and later declined as modern compact varieties became more convenient for growers.,,The long roots can be difficult to harvest without specialized soil preparation. Their firm texture makes them particularly good for simmering and kinpira-style cooking.,"{""01 Takinogawa Burdock
 The heritage root provides a firm bite and deep earthy aroma.
 

 02 Water
 Soaking the cut root in water helps manage browning and prepares it for cooking.
 

 03 Soy-Based Seasoning
 Soy sauce, sugar, or mirin brings out the burdock's savory-sweet character.""}",tah-kee-noh-gah-wah goh-boh,
kiyose-bo,Kiyose Bo,きよせ棒,kanto,tokyo,"A crunchy vegetable snack from Kiyose made with local carrot and burdock powders, created around the city's strong root-vegetable production. The kinpira-burdock flavor combines savory seasoning with a light, crisp texture, making the snack suitable for casual eating, drinks, or souvenirs.","{""All year""}","{""local specialty""}","Contains soy, wheat",410,410,Published,"{""Quick bite""}",Not vegetarian,Not halal,TRUE,Kiyose Bo was launched to mark the centenary of Kiyose Station and uses powders made from locally associated carrots and burdock. The product was designed as a contemporary souvenir that turns local produce into a shelf-stable snack.,,"The original kinpira-burdock flavor uses both carrot and burdock powders, linking the snack to Kiyose's vegetable-growing identity. A later corn-potage version was also introduced using local corn.","{""01 Burdock Powder
 Burdock supplies the earthy, savory vegetable character.
 

 02 Carrot Powder
 Carrot adds gentle sweetness and reinforces the local root-vegetable theme.
 

 03 Kinpira Seasoning
 Soy-based savory seasoning gives the snack its familiar Japanese side-dish flavor.""}",kee-yoh-seh boh,
kiyose-man,Kiyose Man,清瀬まん,kanto,tokyo,"A chilled savory bun from Kiyose filled with spiced keema-style curry and local corn, with a later version adding Kiyose-grown carrots. The result combines warm curry spices with the natural sweetness of local vegetables in a convenient steamed-bun format.","{""Fall""}","{""local specialty""}","Contains wheat, meat, soy",350,350,Published,"{""Quick bite"",""Seasonal peak""}",Not vegetarian,Not halal,TRUE,Kiyose Man was launched by the Kiyose Tourism Association as a regional product using Kiyose-grown ingredients. The revived version added local carrots to the earlier corn-and-keema curry filling to soften the spice and increase vegetable depth.,,The current version uses the sweet kernels of locally grown corn and carrot to mellow the curry's spice. The product became popular enough in its first release to sell out quickly.,"{""01 Keema Curry Filling
 Spiced minced-meat curry provides the savory center.
 

 02 Kiyose Corn
 Fresh local corn adds sweetness and texture.
 

 03 Kiyose Carrot
 Carrot contributes sweetness, color, and a gentle finish that softens the spice.""}",kee-yoh-seh mahn,
kunitachi-brewery-craft-beer,Kunitachi Brewery Craft Beer,くにぶる,kanto,tokyo,"A craft beer brewed by KUNITACHI BREWERY, Kunitachi's first craft brewery, established in 2020 by the long-running local sake retailer Sekiya. The brewery explores classic beer styles and experimental small-batch ideas, including beers inspired by Kunitachi's history and urban identity.","{""All year""}","{""local specialty""}",Vegan,600,1500,Published,"{""Vegetarian"",""Quick bite"",""Dine-in""}",Verified vegetarian,Not halal,TRUE,"KUNITACHI BREWERY was established in 2020 by Sekiya, a sake retailer with more than a century of history. The brewery was created under the philosophy that old traditions can support new experiments in local brewing.",,"One of its beers, 1926, takes its name and design cues from Kunitachi Station's historic station building. The brewery therefore uses local history as part of the beer's identity.","{""01 Malted Barley
 Malted grain provides fermentable sugars and the malt backbone of the beer.
 

 02 Hops
 Hops contribute bitterness and aromatic character according to the style.
 

 03 Brewing Water
 Water provides the base for fermentation and influences the beer's final balance.""}",koo-nee-boo-roo,
kinmedai-no-nitsuke,Kinmedai no Nitsuke,金目鯛の煮付け,kanto,tokyo,"A classic island preparation of splendid alfonsino simmered slowly in a sweet-savory soy broth until the flesh becomes tender and aromatic. On the Izu Islands, the dish highlights a prized local catch with a gentle balance of soy, sugar, and cooking sake.","{""Winter""}","{""local specialty""}","Contains fish, soy, wheat",2000,5000,Published,"{""Dine-in"",""Seasonal peak""}",Not vegetarian,Not halal,TRUE,"Simmered kinmedai is rooted in Izu island fishing cuisine, where the fish has long been treated as a valuable catch. The technique is a traditional Japanese method rather than a dish credited to a single inventor.",,The dark red skin is one reason kinmedai is visually distinctive before cooking. Simmering with a sweet soy broth also helps keep the delicate flesh moist.,"{""01 Splendid Alfonsino
 Kinmedai provides tender, mildly sweet meat with a rich gelatinous skin.
 

 02 Soy Sauce
 Soy sauce forms the savory base of the braising liquid.
 

 03 Sugar and Cooking Sake
 Sweetness and sake balance the saltiness and round out the fish's flavor.""}",keen-meh-dye no nee-tsoo-keh,
toyosu-market-kaisendon,Toyosu Market Kaisendon,豊洲市場の海鮮丼,kanto,tokyo,"A market-style seafood rice bowl built around fresh sashimi toppings served over seasoned rice at Toyosu Market. Menus vary by shop and catch, but the concept emphasizes abundant seafood, careful selection, and the energetic atmosphere of Tokyo's wholesale market.","{""All year""}","{""local specialty""}","Contains fish, soy, wheat",2000,6000,Published,"{""Dine-in""}",Not vegetarian,Not halal,TRUE,"Seafood rice bowls are a modern market dining tradition that developed around Tokyo's wholesale seafood trade. At Toyosu, restaurants continue the tradition established at the former Tsukiji market, including shops with histories extending back more than a century.",,"Some Toyosu seafood bowl shops trace their business history to the old Nihonbashi and Tsukiji markets. The actual seafood selection changes with market supply, so there is no single fixed topping list.","{""01 Sushi Rice
 Seasoned rice provides the neutral, lightly acidic base.
 

 02 Fresh Sashimi Seafood
 Tuna and other market seafood provide the main flavor and visual variety.
 

 03 Soy Sauce
 A small amount of soy sauce seasons the seafood and rice at the table.""}",toh-yoh-soo ee-chee-bah no kye-sen-don,
koganei-sakura-junmai-ginjo,Koganei Sakura Junmai Ginjo,小金井桜純米吟醸,kanto,tokyo,"A junmai ginjo sake associated with Koganei's celebrated cherry-blossom landscape, combining polished rice with the fragrant, clean style expected from ginjo brewing. The local branding connects the sake with Koganei's historic cherry trees and the city's broader cultural identity.","{""Spring""}","{""local specialty""}","Vegan, Gluten-free",1500,4000,Published,"{""Vegetarian"",""Halal"",""Seasonal peak""}",Verified vegetarian,Verified halal,TRUE,"The sake was developed as a local regional product linking Koganei with its famous cherry-tree heritage. Its identity is cultural and contemporary, drawing on the city's historic cherry landscape rather than an ancient sake recipe.",,"Junmai ginjo is brewed from rice, koji, and water without added distilled alcohol, with rice polished to the ginjo range. Serving it slightly chilled generally makes its aroma easier to appreciate.","{""01 Polished Rice
 Highly polished sake rice provides a clean fermentation base.
 

 02 Rice Koji
 Koji converts rice starch into fermentable sugars during brewing.
 

 03 Brewing Water
 Water shapes the fermentation and final texture of the sake.""}",koh-gah-nay sah-koo-rah joon-my geen-joh,
fight-monaka,Fight Monaka,ファイトもなか,kanto,tokyo,"A playful monaka confection from Kokubunji built around the city's local identity and the idea of encouragement. Crisp wafer shells hold a sweet filling, creating the familiar contrast of delicate shell, smooth center, and a compact shape designed for gifting.","{""All year""}","{""local specialty""}","Vegan, contains wheat",200,500,Published,"{""Vegetarian"",""Halal"",""Quick bite""}",Verified vegetarian,Verified halal,TRUE,"Fight Monaka is a locally branded Kokubunji confection rather than a historic Edo recipe. Its concept uses the familiar Japanese monaka format to create a positive, memorable regional souvenir.",,"Monaka wafers become crisper when kept dry, while humidity quickly softens them. Eating the confection soon after opening preserves the best shell-to-filling contrast.","{""01 Glutinous Rice Wafer
 Thin rice wafers form the crisp outer shell.
 

 02 Sweet Bean Paste
 Smooth or lightly textured anko provides the creamy filling.
 

 03 Sugar
 Sugar balances the filling and contributes to the traditional wagashi sweetness.""}",fye-toh moh-nah-kah,
kate-udon,Kate Udon,糧うどん,kanto,tokyo,"A traditional Musashino-style noodle meal in which thick wheat noodles are eaten with a warm dipping broth enriched by seasonal vegetables. Known as a filling rural food, Kate Udon reflects the old practice of pairing hand-made noodles with whatever vegetables and pantry ingredients were available.","{""All year""}","{""local specialty""}","Contains wheat, soy, fish (broth)",800,1500,Published,"{""Dine-in""}",Not vegetarian,Not halal,TRUE,"Kate Udon developed from the everyday food culture of the Musashino farming area, where wheat noodles were paired with vegetables to create a filling household meal. The name refers to food or provisions served with the noodles rather than to one single historical recipe.",,Traditional versions use abundant vegetables because the noodles were designed to stretch a meal with farm produce. The contrast between firm noodles and hot dipping broth is central to the style.,"{""01 Wheat Noodles
 Hand-made wheat noodles provide the firm, chewy base.
 

 02 Seasonal Vegetables
 Leafy greens and root vegetables add sweetness, texture, and nutrition.
 

 03 Soy-Based Dipping Broth
 Dashi, soy sauce, and cooking seasonings create the warm savory sauce.""}",kah-teh oo-don,
komae-honey,Komae Honey,狛江はちみつ,kanto,tokyo,"A locally harvested honey from urban hives in Komae, produced from nectar collected around the city's gardens, farms, and streets. Its flavor varies with the flowering season and neighborhood forage, giving the honey a distinctly local character rather than a fixed single-flower profile.","{""All year""}","{""local specialty""}","Vegetarian, Gluten-free",800,2500,Published,"{""Vegetarian"",""Halal""}",Verified vegetarian,Verified halal,TRUE,"Komae Honey emerged from local beekeeping and community efforts to connect urban agriculture with the city's flowering landscape. It is a contemporary regional product rather than an old recipe, with character shaped by the plants visited by local bees.",,"Because bees forage across changing flowers, the flavor can shift from batch to batch and season to season. This is one reason locally harvested urban honey can taste different from supermarket blended honey.","{""01 Flower Nectar
 Nectar from local blossoms provides the sugars and aromatic compounds that define the honey.
 

 02 Honeycomb
 Bees naturally process stored nectar in the comb before it is harvested.
 

 03 Seasonal Floral Sources
 Cherry, acacia, fruit trees, garden flowers, and other blossoms can influence the final profile.""}",koh-mah-eh hah-chee-mee-tsoo,
sable-manju-komae,Sable Manju Komae,サブレー万頭こまえ,kanto,tokyo,"A Komae souvenir confection that combines the buttery texture of a sablé-style cookie with the soft filled form of a manju. The hybrid design gives the sweet a crisp, rich exterior and a smooth center while serving as a compact edible symbol of the city.","{""All year""}","{""local specialty""}","Contains wheat, dairy, egg",150,400,Published,"{""Vegetarian"",""Halal"",""Quick bite""}",Verified vegetarian,Verified halal,TRUE,Sablé Manju Komae is a modern regional confection developed as part of Komae's local gift program. It deliberately combines two familiar Japanese and Western-style confectionery ideas to create a product identified with the city.,,The name describes the hybrid concept: sablé texture outside and manju-style filling inside. It is best eaten at room temperature so the aroma of the buttery shell can open fully.,"{""01 Wheat Flour
 Flour forms the sablé-style outer shell.
 

 02 Butter
 Butter creates the rich aroma and crumbly cookie texture.
 

 03 Sweet Filling
 A smooth bean or confectionery filling supplies the soft center and sweetness.""}",sah-boo-reh mahn-joo koh-mah-eh,
komae-jomon-madeleine,Komae Jomon Madeleine,こまえ縄文マドレーヌ,kanto,tokyo,"A Komae souvenir madeleine inspired by the city's Jomon archaeological heritage, combining a familiar French-style baked cake with a local historical motif. The result is a moist, buttery sweet designed as a cultural gift linking modern baking with the city's prehistoric identity.","{""All year""}","{""local specialty""}","Contains wheat, dairy, egg",200,500,Published,"{""Vegetarian"",""Halal"",""Quick bite""}",Verified vegetarian,Verified halal,TRUE,Jomon Madeleine was developed as a Komae regional souvenir that connects modern confectionery with the city's archaeological identity. The concept is contemporary and commemorative rather than an ancient Jomon food recreation.,,The product should not be confused with an archaeological reconstruction of Jomon cuisine. Its purpose is to use a familiar Western-style cake to tell a local historical story.,"{""01 Wheat Flour
 Flour provides the basic cake structure.
 

 02 Egg
 Egg gives the madeleine its tender, rich crumb.
 

 03 Butter and Sugar
 Butter supplies aroma while sugar provides the characteristic sweetness and browning.""}",koh-mah-eh joh-mon mah-doh-reh-noo,
oden-croquette,Oden Croquette,おでんコロッケ,kanto,tokyo,"A creative Shinagawa snack that folds familiar oden-style ingredients into a crisp croquette. The filling is soft and savory, echoing the broth-rich flavor of oden while the breadcrumb crust adds the crunch expected from a freshly fried korokke.","{""All year""}","{""local specialty""}","Contains wheat, egg, soy, fish",150,300,Published,"{""Quick bite""}",Not vegetarian,Not halal,TRUE,Oden croquette is a modern local-food idea associated with Shinagawa's long history as a lodging and transport district. It adapts two familiar Japanese comfort foods into one portable snack rather than tracing to a single traditional inventor.,,"The most recognizable feature is the contrast between oden's soft, broth-seasoned filling and the crisp croquette crust. It is a useful example of contemporary Tokyo fusion within everyday street food.","{""01 Potato or Croquette Base
 Mashed potato or another starchy base binds the filling.
 

 02 Oden Ingredients
 Daikon, fish cake, konnyaku, or similar cooked items carry the oden-inspired flavor.
 

 03 Panko Breadcrumbs
 Japanese breadcrumbs create the crisp fried shell.""}",oh-den koh-rok-keh,
edomae-anago,Edomae Anago,江戸前穴子,kanto,tokyo,"A Tokyo-style preparation of conger eel harvested from the bay and traditionally simmered, grilled, or served over rice. Edomae anago is prized for its tender flesh and clean marine sweetness, while careful simmering or glazing creates the soft, glossy texture associated with classic Tokyo sushi and tempura shops.","{""Summer""}","{""local specialty""}","Contains fish, soy, wheat",1500,4000,Published,"{""Dine-in"",""Seasonal peak""}",Not vegetarian,Not halal,TRUE,"Edomae anago belongs to the broader Edo-period practice of using seafood caught in Tokyo Bay close to the capital. The tradition developed through Tokyo's sushi, tempura, and eel shops rather than around one single named creator.",,"The term Edomae refers to seafood associated with the waters in front of old Edo. Anago is generally milder and less oily than unagi, which is why it works especially well with light simmering and sushi.","{""01 Conger Eel
 Edomae anago supplies tender, mildly sweet white flesh.
 

 02 Soy-Based Tare
 A sweet-savory sauce adds gloss and concentrated umami.
 

 03 Cooking Sake and Sugar
 These seasonings soften the flavor and build the classic glazed finish.""}",eh-doh-mah-eh ah-nah-goh,
harajuku-crepe,Harajuku Crepe,原宿クレープ,kanto,tokyo,"A thin, flexible French-style crepe transformed into a colorful Harajuku street sweet, commonly filled with whipped cream, fruit, ice cream, chocolate, or other toppings. Marion Crepes helped establish the wrapped, take-away format that became one of Harajuku's most recognizable youth-culture foods.","{""All year""}","{""local specialty""}","Contains gluten, dairy, egg",500,1000,Published,"{""Vegetarian"",""Quick bite""}",Verified vegetarian,Not halal,TRUE,Marion Crepes opened in Harajuku in 1976 and became an important part of the neighborhood's crepe culture. The company developed its take-away presentation around Harajuku's growing youth fashion and shopping scene.,,The paper-wrapped cone is a key part of the experience because it turns a dessert into a portable street snack. Seasonal fruit and changing fashion trends have continually influenced the fillings sold in Harajuku.,"{""01 Wheat-Flour Crepe
 A thin batter forms the flexible pancake wrapper.
 

 02 Whipped Cream
 Cream adds richness and a light texture to sweet versions.
 

 03 Fresh Fruit and Dessert Toppings
 Fruit, chocolate, custard, ice cream, or other toppings create the layered flavor and visual appeal.""}",hah-rah-joo-koo koo-reh-poo,
omoide-yokocho-yakitori,Omoide Yokocho Yakitori,焼き鳥（思い出横丁）,kanto,tokyo,"A quintessential grilled-chicken street food associated with Shinjuku's compact Omoide Yokocho lanes, where small yakitori counters cook skewers over intense charcoal heat. The atmosphere is as important as the food, with smoke, red lanterns, and tiny seats reinforcing the district's nostalgic postwar izakaya character.","{""All year""}","{""local specialty""}","Contains meat (chicken), soy (if tare glaze used)",150,500,Published,"{""Quick bite"",""Dine-in""}",Not vegetarian,Not halal,TRUE,"Omoide Yokocho developed in the postwar period as a compact drinking and food district near Shinjuku Station. Yakitori became a defining part of the lane's everyday dining culture, with many small shops specializing in grilled skewers.",,"The lanes are famous for very small restaurants, many seating only a handful of customers. Ordering a few skewers with a cold drink is the classic way to experience the district's food culture.","{""01 Chicken Cuts
 Thigh, skin, liver, heart, and other cuts provide different textures and levels of richness.
 

 02 Bamboo Skewers
 Skewers hold the pieces together for quick, high-heat grilling.
 

 03 Salt or Tare
 Seasoning highlights the char while adding either clean savoriness or sweet-salty depth.""}",yah-kee-toh-ree,
ogikubo-ramen,Ogikubo Ramen,荻窪ラーメン,kanto,tokyo,"A Tokyo ramen style from Ogikubo known for a dark, aromatic soy-based broth and straightforward noodle-and-topping presentation. The style grew around neighborhood Chinese restaurants and ramen shops, developing a reputation for a clean yet deeply savory soup rather than the heavier richness of later regional ramen forms.","{""All year""}","{""local specialty""}","Contains gluten, pork, fish, soy",800,1500,Published,"{""Dine-in""}",Not vegetarian,Not halal,TRUE,Ogikubo ramen emerged in the early twentieth-century neighborhood restaurant culture of western Tokyo and became especially established after the war. It is associated with small local ramen shops and a soy-forward Tokyo style rather than a single inventor.,,The style is often described as lighter and more soy-focused than creamy regional ramen. The flavor is especially apparent when the broth is served hot and the noodles are eaten immediately.,"{""01 Wheat Ramen Noodles
 Wheat noodles provide the chewy base.
 

 02 Soy-Based Broth
 Chicken, fish, or other stock is seasoned with soy sauce for the signature savory depth.
 

 03 Pork and Aromatic Toppings
 Chashu, menma, scallions, and nori provide texture and fragrance.""}",oh-gee-koo-boh rah-men,
chanko-nabe,Chanko Nabe,ちゃんこ鍋,kanto,tokyo,"A substantial hot pot associated with sumo wrestlers and the Ryogoku district, combining meat, seafood, tofu, and vegetables in a shared simmering broth. Rather than one fixed recipe, chanko is a flexible protein-rich meal whose exact ingredients and seasoning vary by stable and restaurant.","{""Winter""}","{""local specialty""}","Contains meat, fish (broth), soy, wheat",2000,6000,Published,"{""Dine-in"",""Seasonal peak""}",Not vegetarian,Not halal,TRUE,"Chanko developed as the communal cooking of sumo stables, where wrestlers needed hearty, balanced meals in large quantities. As professional sumo became closely associated with Ryogoku, chanko restaurants brought the style to a wider public.",,"There is no single official chanko recipe: salt, soy, miso, and other broths are all used. Many restaurants finish the meal with rice or noodles after the main ingredients are eaten.","{""01 Chicken or Seafood
 Protein-rich meat and fish form the foundation of the hot pot.
 

 02 Seasonal Vegetables
 Cabbage, negi, mushrooms, carrots, and other vegetables add sweetness and texture.
 

 03 Dashi-Based Broth
 Dashi with salt, soy sauce, or miso creates the flavorful cooking medium.""}",chahn-koh nah-beh,
chomeiji-sakura-mochi,Chomeiji Sakura Mochi,長命寺桜もち,kanto,tokyo,"A delicate Tokyo-style sakura mochi consisting of sweet bean paste wrapped in a thin pink crepe-like rice layer and enclosed in a fragrant salted cherry leaf. Chomeiji's version is especially famous for its thin wrapping, subtle saltiness, and long association with Mukojima's cherry-blossom season.","{""Spring""}","{""local specialty""}","Vegan, Contains wheat",200,500,Published,"{""Vegetarian"",""Halal"",""Quick bite"",""Dine-in"",""Seasonal peak""}",Verified vegetarian,Verified halal,TRUE,"Chomeiji Sakura Mochi is associated with Yamamoto Shinroku, who is traditionally credited with creating it at the Chomeiji temple area in the early Edo period. The confection was developed as a sweet accompaniment to the area's famous cherry blossoms.",,"The salted leaf is edible and is traditionally eaten with the confection, although some diners prefer to remove it. Its gentle saltiness keeps the sweet bean filling from becoming overly rich.","{""01 Sweet Bean Paste
 Smooth anko provides the main sweetness and creamy center.
 

 02 Thin Rice Flour Wrapper
 The pale pink wrapper forms a delicate, crepe-like shell around the bean paste.
 

 03 Salted Sakura Leaf
 Pickled cherry leaves contribute aroma and a gentle salty accent.""}",choh-may-jee sah-koo-rah moh-chee,
daikan-mochi,Daikan Mochi,代官餅,kanto,tokyo,"A local mochi specialty associated with Setagaya's Daikan tradition, made from soft pounded rice and typically finished with sweet or savory toppings. Its appeal lies in the fresh, stretchy texture of freshly made mochi and the contrast between the neutral rice base and rich toppings.","{""Only available Dec 15-16 and Jan 15-16""}","{""local specialty""}",Dairy-free. Contains soy. Anko and Kinako flavors are naturally gluten-free.,700,800,Published,"{""Vegetarian"",""Quick bite"",""Seasonal peak""}",Verified vegetarian,Not halal,TRUE,Daikan Mochi is a neighborhood confection associated with Setagaya's local food culture rather than a universally standardized historical recipe. The name and style reflect the area's traditional sweet-making and festival food customs.,,"Fresh mochi becomes firmer as it cools, so the best texture is usually achieved soon after pounding and shaping. Kinako-coated pieces are especially aromatic while still warm.","{""01 Glutinous Rice
 Pounded sticky rice provides the soft, stretchy mochi base.
 

 02 Kinako or Red Bean
 Toppings supply roasted soybean aroma or sweet bean richness depending on the version.
 

 03 Sugar
 Sugar balances the topping and adds the characteristic sweetness of the confection.""}",dye-kahn mo-chee,
